state,indicator_id,field,expected,got,match,pdf_url
Arunachal Pradesh,pension,actuals,167.37,167.37,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,pension,pct_current,5.99,5.99,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,pension,pct_prev,6.6,6.6,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,subsidy,be,5.0,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,subsidy,actuals,8842.37,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,subsidy,pct_current,0.66,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,subsidy,pct_prev,0.01,,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_expenditure,be,,8842.37,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_expenditure,actuals,,0.66,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_expenditure,pct_current,,0.01,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,capital_expenditure,pct_prev,,0.54,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_expenditure,be,,38805.7,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_expenditure,actuals,,1278.03,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_expenditure,pct_current,,3.29,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,total_expenditure,pct_prev,,3.28,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,loans_advances_disbursed,be,,3.02,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,loans_advances_disbursed,actuals,,0.01,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,loans_advances_disbursed,pct_current,,0.33,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,loans_advances_disbursed,pct_prev,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_surplus_deficit,be,,4580.73,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_surplus_deficit,actuals,,679.45,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_surplus_deficit,pct_current,,14.83,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,revenue_surplus_deficit,pct_prev,,11.09,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,fiscal_deficit,be,,-4254.66,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,fiscal_deficit,actuals,,679.25,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,fiscal_deficit,pct_current,,-15.96,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,fiscal_deficit,pct_prev,,-18.29,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,primary_deficit,be,,-3260.35,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,primary_deficit,actuals,,892.77,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,primary_deficit,pct_current,,-27.38,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Arunachal Pradesh,primary_deficit,pct_prev,,-35.93,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-April-2025-0685bddd75b22e5-73143333.pdf
Assam,revenue_receipts,be,1.0,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,revenue_receipts,actuals,0.0,5936.74,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,revenue_receipts,pct_current,5936.74,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,revenue_receipts,pct_prev,0.0,5.06,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,tax_revenue,be,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,tax_revenue,actuals,5155.21,5155.21,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,tax_revenue,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,tax_revenue,pct_prev,6.61,6.61,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sgst,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sgst,actuals,,1305.63,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sgst,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sgst,pct_prev,,9.06,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,stamps_registration,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,stamps_registration,actuals,,54.62,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,stamps_registration,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,stamps_registration,pct_prev,,2.63,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,land_revenue,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,land_revenue,actuals,,8.78,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,land_revenue,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,land_revenue,pct_prev,,7.29,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sales_tax,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sales_tax,actuals,,720.63,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sales_tax,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,sales_tax,pct_prev,,7.65,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,state_excise,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,state_excise,actuals,,315.8,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,state_excise,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,state_excise,pct_prev,,6.25,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,union_taxes_share,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,union_taxes_share,actuals,,2556.67,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,union_taxes_share,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,union_taxes_share,pct_prev,,5.46,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,other_taxes,be,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,other_taxes,actuals,,193.08,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,other_taxes,pct_current,,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,other_taxes,pct_prev,,6.87,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,non_tax_revenue,be,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,non_tax_revenue,actuals,310.96,310.96,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,non_tax_revenue,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,non_tax_revenue,pct_prev,6.11,6.11,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,grants_in_aid,be,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,grants_in_aid,actuals,470.57,470.57,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,grants_in_aid,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,grants_in_aid,pct_prev,0.78,0.78,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,capital_receipts,be,2.0,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,capital_receipts,actuals,0.0,2863.8,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,capital_receipts,pct_current,2863.8,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,capital_receipts,pct_prev,0.0,10.91,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,recovery_loans,be,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,recovery_loans,actuals,0.01,0.01,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,recovery_loans,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,recovery_loans,pct_prev,0.02,0.02,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,borrowings,be,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,borrowings,actuals,2863.79,2863.79,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,borrowings,pct_current,0.0,0.0,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,borrowings,pct_prev,11.56,11.56,True,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,total_receipts,be,3.0,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,total_receipts,actuals,0.0,8800.54,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,total_receipts,pct_current,8800.54,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,total_receipts,pct_prev,0.0,6.59,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
Assam,revenue_expenditure,be,4.0,0.0,False,https://cag.gov.in/uploads/state_accounts_report/account-report-MKI-APRIL-2025-0684fcb03bd0f45-99493342.pdf
